=== Conectado a bancada de giro ===
Envie 's' para girar. 'p' aborta.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +182.80 | Erro -2.80 | 1516 ms | fim: travou
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
11,0.00,180.00,-0.01,150.00,0,0,0,0
21,0.00,180.00,0.14,150.00,-150,150,-2,4
31,0.03,179.97,15.17,150.00,-150,150,-3,10
41,0.27,179.73,31.60,150.00,-150,150,-5,16
51,0.63,179.37,42.92,150.00,-150,150,-7,18
61,1.07,178.93,42.35,150.00,-150,150,-11,20
71,1.48,178.51,42.99,150.00,-150,150,-13,26
81,1.92,178.08,41.40,150.00,-150,150,-15,38
91,2.36,177.64,53.63,150.00,-150,150,-17,41
101,2.95,177.05,59.50,150.00,-150,150,-24,44
111,3.53,176.47,59.80,150.00,-150,150,-29,54
121,4.15,175.85,60.27,150.00,-150,150,-32,73
131,4.75,175.25,71.62,150.00,-150,150,-35,81
141,5.56,174.44,88.84,150.00,-150,150,-41,84
151,6.43,173.57,86.12,150.00,-150,150,-47,93
161,7.29,172.71,86.55,150.00,-150,150,-50,109
171,8.18,171.82,99.03,150.00,-150,150,-54,116
181,9.29,170.71,112.19,150.00,-150,150,-62,119
191,10.38,169.62,112.59,150.00,-150,150,-67,130
201,11.51,168.49,111.63,150.00,-150,150,-71,147
211,12.66,167.34,121.12,150.00,-150,150,-76,156
221,13.97,166.03,133.57,150.00,-150,150,-85,160
231,15.25,164.75,125.41,150.00,-150,150,-93,172
241,16.54,163.46,127.61,150.00,-150,150,-97,192
251,17.78,162.22,125.01,150.00,-150,150,-101,215
261,19.13,160.87,154.15,150.00,-150,150,-108,218
271,20.70,159.30,148.54,150.00,-150,150,-122,226
281,22.17,157.83,153.51,150.00,-150,150,-126,243
291,23.68,156.32,147.50,150.00,-150,150,-134,267
301,25.16,154.84,149.96,150.00,-150,150,-138,294
311,26.73,153.27,179.80,150.00,-150,150,-147,298
321,28.59,151.41,177.42,150.00,-150,150,-159,307
331,30.32,149.68,174.36,150.00,-150,150,-168,324
341,32.06,147.94,173.37,150.00,-150,150,-179,348
351,33.81,146.19,176.21,150.00,-150,150,-183,379
361,35.52,144.48,178.57,150.00,-150,150,-189,395
371,37.53,142.47,211.96,150.00,-150,150,-200,400
381,39.59,140.41,201.02,150.00,-150,150,-212,415
391,41.64,138.36,204.31,150.00,-150,150,-219,437
401,43.63,136.37,197.20,150.00,-150,150,-226,463
411,45.66,134.34,214.96,150.00,-150,150,-233,475
421,47.92,132.08,228.95,150.00,-150,150,-245,482
431,50.15,129.85,220.24,150.00,-150,150,-255,498
441,52.35,127.65,216.53,150.00,-150,150,-263,521
451,54.49,125.51,213.15,150.00,-150,150,-269,547
461,56.65,123.35,228.10,150.00,-150,150,-277,555
471,59.01,120.99,229.26,150.00,-150,150,-291,564
481,61.19,118.81,214.49,150.00,-150,150,-300,581
491,63.35,116.65,211.58,150.00,-150,150,-307,605
501,65.43,114.57,205.92,150.00,-150,150,-313,636
511,67.46,112.54,200.14,150.00,-150,150,-321,668
521,69.53,110.47,228.24,150.00,-150,150,-326,674
531,71.90,108.10,236.73,150.00,-150,150,-340,683
541,74.20,105.80,223.84,150.00,-150,150,-352,700
551,76.48,103.52,229.54,150.00,-150,150,-359,725
561,78.73,101.27,223.41,150.00,-150,150,-366,753
571,80.98,99.02,237.33,150.00,-150,150,-373,766
581,83.46,96.54,248.61,150.00,-150,150,-384,775
591,85.89,94.11,237.68,150.00,-150,150,-394,792
601,88.27,91.73,233.80,150.00,-150,150,-403,817
611,90.61,89.39,232.93,150.00,-150,150,-411,847
621,92.93,87.07,237.63,150.00,-150,150,-418,866
631,95.41,84.59,248.61,150.00,-150,150,-431,873
641,97.89,82.11,248.58,150.00,-150,150,-443,889
