=== Conectado a bancada de giro ===
Envie 's' para girar. 'p' aborta.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +174.11 | Erro +5.89 | 1559 ms | fim: travou
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
11,0.00,180.00,0.05,150.00,0,0,0,0
21,0.00,180.00,0.07,150.00,-150,150,-3,1
31,0.03,179.97,10.09,150.00,-150,150,-8,2
41,0.19,179.81,19.04,150.00,-150,150,-10,7
51,0.39,179.61,17.42,150.00,-150,150,-11,11
61,0.62,179.38,27.12,150.00,-150,150,-14,12
71,0.90,179.10,32.44,150.00,-150,150,-15,14
81,1.26,178.74,36.58,150.00,-150,150,-17,16
91,1.61,178.39,37.18,150.00,-150,150,-18,20
101,2.01,177.99,44.24,150.00,-150,150,-20,21
111,2.42,177.58,39.47,150.00,-150,150,-21,23
121,2.85,177.15,46.36,150.00,-150,150,-22,24
131,3.33,176.67,48.60,150.00,-150,150,-24,26
141,3.82,176.18,51.46,150.00,-150,150,-26,28
151,4.38,175.62,61.08,150.00,-150,150,-28,30
161,5.02,174.98,65.72,150.00,-150,150,-30,32
171,5.71,174.29,75.01,150.00,-150,150,-32,35
181,6.51,173.49,84.02,150.00,-150,150,-36,38
191,7.39,172.61,95.82,150.00,-150,150,-38,41
201,8.39,171.61,105.13,150.00,-150,150,-41,44
211,9.48,170.52,112.59,150.00,-150,150,-44,48
221,10.62,169.38,116.80,150.00,-150,150,-48,51
231,11.79,168.21,120.55,150.00,-150,150,-52,55
241,13.03,166.97,123.70,150.00,-150,150,-55,59
251,14.30,165.70,130.05,150.00,-150,150,-60,63
261,15.62,164.38,136.42,150.00,-150,150,-64,69
271,17.02,162.98,145.42,150.00,-150,150,-68,73
281,18.49,161.51,146.21,150.00,-150,150,-72,79
291,19.97,160.03,151.65,150.00,-150,150,-77,83
301,21.49,158.51,152.62,150.00,-150,150,-82,90
311,23.04,156.96,159.82,150.00,-150,150,-86,95
321,24.67,155.33,164.60,150.00,-150,150,-90,101
331,26.34,153.66,170.02,150.00,-150,150,-96,106
341,28.06,151.94,170.57,150.00,-150,150,-100,113
351,29.76,150.24,169.87,150.00,-150,150,-105,123
361,31.48,148.52,177.39,150.00,-150,150,-110,129
371,33.25,146.75,174.73,150.00,-150,150,-116,138
381,35.00,145.00,173.84,150.00,-150,150,-121,153
391,36.72,143.28,174.25,150.00,-150,150,-126,166
401,38.54,141.46,186.08,150.00,-150,150,-132,173
411,40.42,139.58,188.01,150.00,-150,150,-137,180
421,42.28,137.72,185.75,150.00,-150,150,-142,187
431,44.15,135.85,185.45,150.00,-150,150,-147,195
441,46.02,133.98,189.26,150.00,-150,150,-152,202
451,47.91,132.09,190.17,150.00,-150,150,-158,212
461,49.82,130.18,193.44,150.00,-150,150,-162,220
471,51.76,128.24,194.44,150.00,-150,150,-168,228
481,53.70,126.30,190.47,150.00,-150,150,-172,241
491,55.58,124.42,193.05,150.00,-150,150,-177,249
501,57.54,122.46,195.37,150.00,-150,150,-183,258
511,59.49,120.51,196.63,150.00,-150,150,-188,271
521,61.44,118.56,198.64,150.00,-150,150,-193,278
531,63.43,116.57,194.70,150.00,-150,150,-199,289
541,65.39,114.61,194.73,150.00,-150,150,-204,302
551,67.33,112.67,199.48,150.00,-150,150,-209,308
561,69.31,110.69,196.70,150.00,-150,150,-213,320
571,71.25,108.75,193.86,150.00,-150,150,-218,330
581,73.24,106.76,198.08,150.00,-150,150,-224,338
591,75.19,104.81,194.60,150.00,-150,150,-228,350
601,77.14,102.86,196.89,150.00,-150,150,-233,359
611,79.14,100.86,201.42,150.00,-150,150,-238,366
621,81.14,98.86,201.83,150.00,-150,150,-242,375
631,83.16,96.84,200.97,150.00,-150,150,-246,385
641,85.18,94.82,206.24,150.00,-150,150,-251,392
651,87.25,92.75,206.25,150.00,-150,150,-256,402
661,89.32,90.68,207.21,150.00,-150,150,-260,414
671,91.38,88.62,211.02,150.00,-150,150,-266,422
681,93.53,86.47,215.37,150.00,-150,150,-272,433
691,95.69,84.31,217.50,150.00,-150,150,-276,446
701,97.86,82.14,221.90,150.00,-150,150,-282,454
711,100.09,79.91,221.40,150.00,-150,150,-288,467
721,102.33,77.67,229.79,150.00,-150,150,-294,478
731,104.67,75.33,232.34,150.00,-150,150,-302,488
741,106.99,73.01,232.58,150.00,-150,150,-306,505
751,109.26,70.74,224.91,150.00,-150,150,-310,519
761,111.55,68.45,228.84,150.00,-150,150,-318,528
771,113.80,66.20,228.70,150.00,-150,150,-323,540
781,116.15,63.85,235.88,150.00,-150,150,-332,549
791,118.45,61.55,228.90,150.00,-150,150,-336,563
801,120.76,59.24,230.79,150.00,-150,150,-342,573
811,123.08,56.92,228.43,150.00,-150,150,-350,584
821,125.33,54.67,225.90,150.00,-150,150,-355,603
831,127.54,52.46,216.82,150.00,-150,150,-361,622
841,129.77,50.23,229.55,150.00,-150,150,-367,629
851,132.07,47.93,224.72,150.00,-150,150,-375,641
861,134.31,45.69,222.46,150.00,-150,150,-380,659
871,136.50,43.50,222.37,150.00,-150,150,-387,667
881,138.73,41.27,218.62,142.74,-150,150,-393,679
891,140.93,39.07,221.83,135.68,-142,142,-398,688
901,143.14,36.86,213.53,127.20,-135,135,-405,699
911,145.24,34.76,208.95,123.22,-127,127,-410,715
921,147.30,32.70,206.25,116.31,-123,123,-415,724
931,149.38,30.62,204.61,108.07,-116,116,-420,734
941,151.42,28.58,206.41,100.98,-108,108,-424,742
951,153.41,26.59,192.29,95.09,-100,100,-428,753
961,155.30,24.70,185.33,90.39,-95,95,-432,763
971,157.15,22.85,182.50,84.26,-90,90,-436,770
981,158.91,21.09,170.85,79.68,-84,84,-439,778
991,160.60,19.40,162.85,75.07,-79,79,-443,785
1001,162.17,17.83,153.11,72.23,-75,75,-446,792
1011,163.68,16.32,150.86,67.51,-72,72,-448,797
1021,165.11,14.89,134.15,64.07,-67,67,-450,804
1031,166.41,13.59,127.70,62.89,-64,64,-453,809
1041,167.66,12.34,118.14,58.64,-62,62,-454,815
1051,168.79,11.21,109.41,57.74,-58,58,-456,819
1061,169.82,10.18,95.76,56.63,-57,57,-457,823
1071,170.70,9.30,82.72,57.12,-56,56,-458,825
1081,171.48,8.52,72.02,57.13,-57,57,-460,828
1091,172.14,7.86,62.21,57.69,-57,57,-461,830
1101,172.70,7.30,48.88,58.92,-57,57,-462,832
1111,173.16,6.84,40.42,59.84,-58,58,-462,834
1121,173.52,6.48,30.30,61.76,-59,59,-463,835
1131,173.79,6.21,21.56,63.66,-61,61,-463,835
1141,173.97,6.03,12.44,65.87,-63,63,-463,836
1151,174.06,5.94,4.44,68.51,-65,65,-463,836
1161,174.08,5.92,0.53,71.04,-68,68,-463,836
1171,174.09,5.91,0.82,71.81,-71,71,-463,836
1181,174.09,5.91,0.06,72.39,-71,71,-463,836
1191,174.09,5.91,0.06,72.99,-72,72,-463,836
1201,174.09,5.91,0.18,73.41,-72,72,-463,836
1214,174.09,5.91,-0.13,74.07,-73,73,-463,836
1224,174.09,5.91,0.18,74.53,-74,74,-463,836
1234,174.09,5.91,-0.01,74.98,-74,74,-463,836
1244,174.09,5.91,0.02,75.49,-74,74,-463,836
1254,174.09,5.91,0.06,75.94,-75,75,-463,836
1264,174.09,5.91,-0.02,76.42,-75,75,-463,836
1274,174.09,5.91,0.08,76.89,-76,76,-463,836
1284,174.09,5.91,0.03,77.33,-76,76,-463,836
1294,174.09,5.91,0.03,77.83,-77,77,-463,836
1304,174.09,5.91,0.06,78.30,-77,77,-463,836
1314,174.10,5.90,0.00,78.76,-78,78,-463,836
1324,174.10,5.90,0.05,79.25,-78,78,-463,836
1334,174.10,5.90,0.06,79.71,-79,79,-463,836
1344,174.10,5.90,0.05,80.17,-79,79,-463,836
1354,174.10,5.90,0.05,80.65,-80,80,-463,836
1364,174.10,5.90,0.03,81.12,-80,80,-463,836
1374,174.10,5.90,0.03,81.60,-81,81,-463,836
1384,174.10,5.90,0.05,82.05,-81,81,-463,836
1394,174.10,5.90,0.06,82.53,-82,82,-464,836
1404,174.10,5.90,0.07,82.99,-82,82,-464,836
1414,174.10,5.90,0.07,83.45,-82,82,-464,836
1424,174.10,5.90,-0.01,83.94,-83,83,-464,836
1434,174.10,5.90,0.06,84.41,-83,83,-464,836
1444,174.10,5.90,0.05,84.86,-84,84,-464,836
1454,174.10,5.90,0.04,85.34,-84,84,-464,836
1464,174.10,5.90,0.07,85.82,-85,85,-464,836
1474,174.10,5.90,0.03,86.28,-85,85,-464,836
1484,174.10,5.90,0.08,86.75,-86,86,-464,836
1494,174.10,5.90,0.08,87.21,-86,86,-464,836
1504,174.10,5.90,0.08,87.68,-87,87,-464,836
1514,174.10,5.90,0.02,88.17,-87,87,-464,836
1524,174.10,5.90,0.02,88.64,-88,88,-464,836
1534,174.11,5.89,0.05,89.09,-88,88,-464,836
1544,174.11,5.89,0.02,89.57,-89,89,-464,836
---- FIM (154 amostras) ----
[GIRO] Fim. Envie 's' para repetir.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +175.25 | Erro +4.75 | 1961 ms | fim: travou
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
13,-0.00,180.00,-0.01,150.00,0,0,0,0
